2016-05-27 11:04:35 install gcc-4.7-base:armhf <none> 4.7.3-11+rpi1
2016-05-27 11:04:35 status half-installed gcc-4.7-base:armhf 4.7.3-11+rpi1
2016-05-27 11:04:35 status unpacked gcc-4.7-base:armhf 4.7.3-11+rpi1
2016-05-27 11:04:35 status unpacked gcc-4.7-base:armhf 4.7.3-11+rpi1
2016-05-27 11:04:35 install gcc-4.8-base:armhf <none> 4.8.4-1
2016-05-27 11:04:35 status half-installed gcc-4.8-base:armhf 4.8.4-1
2016-05-27 11:04:35 status unpacked gcc-4.8-base:armhf 4.8.4-1
2016-05-27 11:04:35 status unpacked gcc-4.8-base:armhf 4.8.4-1
2016-05-27 11:04:35 install gcc-4.9-base:armhf <none> 4.9.2-10
2016-05-27 11:04:35 status half-installed gcc-4.9-base:armhf 4.9.2-10
2016-05-27 11:04:35 status unpacked gcc-4.9-base:armhf 4.9.2-10
2016-05-27 11:04:35 status unpacked gcc-4.9-base:armhf 4.9.2-10
2016-05-27 11:04:35 install grep:armhf <none> 2.20-4.1
2016-05-27 11:04:35 status half-installed grep:armhf 2.20-4.1
2016-05-27 11:04:36 status unpacked grep:armhf 2.20-4.1
2016-05-27 11:04:36 status unpacked grep:armhf 2.20-4.1
2016-05-27 11:04:36 install gzip:armhf <none> 1.6-4
2016-05-27 11:04:36 status half-installed gzip:armhf 1.6-4
2016-05-27 11:04:36 status unpacked gzip:armhf 1.6-4
2016-05-27 11:04:36 status unpacked gzip:armhf 1.6-4
2016-05-27 11:04:36 install hostname:armhf <none> 3.15
2016-05-27 11:04:36 status half-installed hostname:armhf 3.15
2016-05-27 11:04:36 status unpacked hostname:armhf 3.15
2016-05-27 11:04:36 status unpacked hostname:armhf 3.15
2016-05-27 11:04:36 install init:armhf <none> 1.22
2016-05-27 11:04:36 status half-installed init:armhf 1.22
2016-05-27 11:04:36 status unpacked init:armhf 1.22
2016-05-27 11:04:36 status unpacked init:armhf 1.22
2016-05-27 11:04:36 install init-system-helpers:all <none> 1.22
2016-05-27 11:04:36 status half-installed init-system-helpers:all 1.22
2016-05-27 11:04:36 status unpacked init-system-helpers:all 1.22
2016-05-27 11:04:36 status unpacked init-system-helpers:all 1.22
2016-05-27 11:04:36 install initramfs-tools:all <none> 0.120+deb8u1
2016-05-27 11:04:36 status half-installed initramfs-tools:all 0.120+deb8u1
2016-05-27 11:04:37 status unpacked initramfs-tools:all 0.120+deb8u1
2016-05-27 11:04:37 status unpacked initramfs-tools:all 0.120+deb8u1
2016-05-27 11:04:37 install initscripts:armhf <none> 2.88dsf-59
2016-05-27 11:04:37 status half-installed initscripts:armhf 2.88dsf-59
2016-05-27 11:04:37 status unpacked initscripts:armhf 2.88dsf-59
2016-05-27 11:04:37 status unpacked initscripts:armhf 2.88dsf-59
2016-05-27 11:04:37 install insserv:armhf <none> 1.14.0-5
2016-05-27 11:04:37 status half-installed insserv:armhf 1.14.0-5
2016-05-27 11:04:37 status unpacked insserv:armhf 1.14.0-5
2016-05-27 11:04:37 status unpacked insserv:armhf 1.14.0-5
2016-05-27 11:04:37 install klibc-utils:armhf <none> 2.0.4-2+rpi1
2016-05-27 11:04:37 status half-installed klibc-utils:armhf 2.0.4-2+rpi1
2016-05-27 11:04:38 status unpacked klibc-utils:armhf 2.0.4-2+rpi1
2016-05-27 11:04:38 status unpacked klibc-utils:armhf 2.0.4-2+rpi1
2016-05-27 11:04:38 install kmod:armhf <none> 18-3
2016-05-27 11:04:38 status half-installed kmod:armhf 18-3
2016-05-27 11:04:38 status unpacked kmod:armhf 18-3
2016-05-27 11:04:38 status unpacked kmod:armhf 18-3
2016-05-27 11:04:38 install libacl1:armhf <none> 2.2.52-2
2016-05-27 11:04:38 status half-installed libacl1:armhf 2.2.52-2
2016-05-27 11:04:38 status unpacked libacl1:armhf 2.2.52-2
2016-05-27 11:04:38 status unpacked libacl1:armhf 2.2.52-2
2016-05-27 11:04:38 install libattr1:armhf <none> 1:2.4.47-2
2016-05-27 11:04:38 status half-installed libattr1:armhf 1:2.4.47-2
2016-05-27 11:04:38 status unpacked libattr1:armhf 1:2.4.47-2
2016-05-27 11:04:38 status unpacked libattr1:armhf 1:2.4.47-2
2016-05-27 11:04:38 install libaudit-common:all <none> 1:2.4-1
2016-05-27 11:04:38 status half-installed libaudit-common:all 1:2.4-1
2016-05-27 11:04:38 status unpacked libaudit-common:all 1:2.4-1
2016-05-27 11:04:38 status unpacked libaudit-common:all 1:2.4-1
2016-05-27 11:04:38 install libaudit1:armhf <none> 1:2.4-1
2016-05-27 11:04:38 status half-installed libaudit1:armhf 1:2.4-1
2016-05-27 11:04:39 status unpacked libaudit1:armhf 1:2.4-1
2016-05-27 11:04:39 status unpacked libaudit1:armhf 1:2.4-1
2016-05-27 11:04:39 install libblkid1:armhf <none> 2.25.2-6
2016-05-27 11:04:39 status half-installed libblkid1:armhf 2.25.2-6
2016-05-27 11:04:39 status unpacked libblkid1:armhf 2.25.2-6
2016-05-27 11:04:39 status unpacked libblkid1:armhf 2.25.2-6
2016-05-27 11:04:39 install libbz2-1.0:armhf <none> 1.0.6-7
2016-05-27 11:04:39 status half-installed libbz2-1.0:armhf 1.0.6-7
2016-05-27 11:04:39 status unpacked libbz2-1.0:armhf 1.0.6-7
2016-05-27 11:04:39 status unpacked libbz2-1.0:armhf 1.0.6-7
2016-05-27 11:04:39 install libc-bin:armhf <none> 2.19-18+deb8u4
2016-05-27 11:04:39 status half-installed libc-bin:armhf 2.19-18+deb8u4
2016-05-27 11:04:39 status unpacked libc-bin:armhf 2.19-18+deb8u4
2016-05-27 11:04:39 status unpacked libc-bin:armhf 2.19-18+deb8u4
2016-05-27 11:04:39 upgrade libc6:armhf 2.19-18+deb8u4 2.19-18+deb8u4
2016-05-27 11:04:39 status half-configured libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:39 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:39 status half-installed libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:41 status half-installed libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:41 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:41 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:41 install libcap2:armhf <none> 1:2.24-8
2016-05-27 11:04:41 status half-installed libcap2:armhf 1:2.24-8
2016-05-27 11:04:42 status unpacked libcap2:armhf 1:2.24-8
2016-05-27 11:04:42 status unpacked libcap2:armhf 1:2.24-8
2016-05-27 11:04:42 install libcap2-bin:armhf <none> 1:2.24-8
2016-05-27 11:04:42 status half-installed libcap2-bin:armhf 1:2.24-8
2016-05-27 11:04:42 status unpacked libcap2-bin:armhf 1:2.24-8
2016-05-27 11:04:42 status unpacked libcap2-bin:armhf 1:2.24-8
2016-05-27 11:04:42 install libcomerr2:armhf <none> 1.42.12-1.1
2016-05-27 11:04:42 status half-installed libcomerr2:armhf 1.42.12-1.1
2016-05-27 11:04:42 status unpacked libcomerr2:armhf 1.42.12-1.1
2016-05-27 11:04:42 status unpacked libcomerr2:armhf 1.42.12-1.1
2016-05-27 11:04:42 install libcryptsetup4:armhf <none> 2:1.6.6-5
2016-05-27 11:04:42 status half-installed libcryptsetup4:armhf 2:1.6.6-5
2016-05-27 11:04:42 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2016-05-27 11:04:42 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2016-05-27 11:04:42 install libdb5.3:armhf <none> 5.3.28-9
2016-05-27 11:04:42 status half-installed libdb5.3:armhf 5.3.28-9
2016-05-27 11:04:43 status unpacked libdb5.3:armhf 5.3.28-9
2016-05-27 11:04:43 status unpacked libdb5.3:armhf 5.3.28-9
2016-05-27 11:04:43 install libdbus-1-3:armhf <none> 1.8.20-0+deb8u1
2016-05-27 11:04:43 status half-installed libdbus-1-3:armhf 1.8.20-0+deb8u1
2016-05-27 11:04:43 status unpacked libdbus-1-3:armhf 1.8.20-0+deb8u1
2016-05-27 11:04:43 status unpacked libdbus-1-3:armhf 1.8.20-0+deb8u1
2016-05-27 11:04:43 install libdebconfclient0:armhf <none> 0.192
2016-05-27 11:04:43 status half-installed libdebconfclient0:armhf 0.192
2016-05-27 11:04:43 status unpacked libdebconfclient0:armhf 0.192
2016-05-27 11:04:43 status unpacked libdebconfclient0:armhf 0.192
2016-05-27 11:04:43 install libdevmapper1.02.1:armhf <none> 2:1.02.90-2.2
2016-05-27 11:04:43 status half-installed libdevmapper1.02.1:armhf 2:1.02.90-2.2
2016-05-27 11:04:43 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2
2016-05-27 11:04:43 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2
2016-05-27 11:04:43 install libdrm2:armhf <none> 2.4.58-2
2016-05-27 11:04:43 status half-installed libdrm2:armhf 2.4.58-2
2016-05-27 11:04:43 status unpacked libdrm2:armhf 2.4.58-2
2016-05-27 11:04:43 status unpacked libdrm2:armhf 2.4.58-2
2016-05-27 11:04:43 install libgcc1:armhf <none> 1:4.9.2-10
2016-05-27 11:04:43 status half-installed libgcc1:armhf 1:4.9.2-10
2016-05-27 11:04:44 status unpacked libgcc1:armhf 1:4.9.2-10
2016-05-27 11:04:44 status unpacked libgcc1:armhf 1:4.9.2-10
2016-05-27 11:04:44 install libgcrypt20:armhf <none> 1.6.3-2+deb8u1
2016-05-27 11:04:44 status half-installed libgcrypt20:armhf 1.6.3-2+deb8u1
2016-05-27 11:04:44 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u1
2016-05-27 11:04:44 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u1
2016-05-27 11:04:44 install libgpg-error0:armhf <none> 1.17-3
2016-05-27 11:04:44 status half-installed libgpg-error0:armhf 1.17-3
2016-05-27 11:04:44 status unpacked libgpg-error0:armhf 1.17-3
2016-05-27 11:04:44 status unpacked libgpg-error0:armhf 1.17-3
2016-05-27 11:04:44 install libklibc:armhf <none> 2.0.4-2+rpi1
2016-05-27 11:04:44 status half-installed libklibc:armhf 2.0.4-2+rpi1
2016-05-27 11:04:44 status unpacked libklibc:armhf 2.0.4-2+rpi1
2016-05-27 11:04:44 status unpacked libklibc:armhf 2.0.4-2+rpi1
2016-05-27 11:04:44 install libkmod2:armhf <none> 18-3
2016-05-27 11:04:44 status half-installed libkmod2:armhf 18-3
2016-05-27 11:04:44 status unpacked libkmod2:armhf 18-3
2016-05-27 11:04:44 status unpacked libkmod2:armhf 18-3
2016-05-27 11:04:45 install liblocale-gettext-perl:armhf <none> 1.05-8+b1
2016-05-27 11:04:45 status half-installed liblocale-gettext-perl:armhf 1.05-8+b1
2016-05-27 11:04:45 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2016-05-27 11:04:45 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2016-05-27 11:04:45 install liblzma5:armhf <none> 5.1.1alpha+20120614-2
2016-05-27 11:04:45 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2
2016-05-27 11:04:45 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2016-05-27 11:04:45 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2016-05-27 11:04:45 install libmount1:armhf <none> 2.25.2-6
2016-05-27 11:04:45 status half-installed libmount1:armhf 2.25.2-6
2016-05-27 11:04:45 status unpacked libmount1:armhf 2.25.2-6
2016-05-27 11:04:45 status unpacked libmount1:armhf 2.25.2-6
2016-05-27 11:04:45 install libncurses5:armhf <none> 5.9+20140913-1
2016-05-27 11:04:45 status half-installed libncurses5:armhf 5.9+20140913-1
2016-05-27 11:04:45 status unpacked libncurses5:armhf 5.9+20140913-1
2016-05-27 11:04:45 status unpacked libncurses5:armhf 5.9+20140913-1
2016-05-27 11:04:45 install libncursesw5:armhf <none> 5.9+20140913-1
2016-05-27 11:04:45 status half-installed libncursesw5:armhf 5.9+20140913-1
2016-05-27 11:04:45 status unpacked libncursesw5:armhf 5.9+20140913-1
2016-05-27 11:04:46 status unpacked libncursesw5:armhf 5.9+20140913-1
2016-05-27 11:04:46 install libnih-dbus1:armhf <none> 1.0.3-4.3
2016-05-27 11:04:46 status half-installed libnih-dbus1:armhf 1.0.3-4.3
2016-05-27 11:04:46 status unpacked libnih-dbus1:armhf 1.0.3-4.3
2016-05-27 11:04:46 status unpacked libnih-dbus1:armhf 1.0.3-4.3
2016-05-27 11:04:46 install libnih1:armhf <none> 1.0.3-4.3
2016-05-27 11:04:46 status half-installed libnih1:armhf 1.0.3-4.3
2016-05-27 11:04:46 status unpacked libnih1:armhf 1.0.3-4.3
2016-05-27 11:04:46 status unpacked libnih1:armhf 1.0.3-4.3
2016-05-27 11:04:46 install libpam-modules:armhf <none> 1.1.8-3.1+deb8u1
2016-05-27 11:04:46 status half-installed libpam-modules:armhf 1.1.8-3.1+deb8u1
2016-05-27 11:04:48 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u1
2016-05-27 11:04:48 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u1
2016-05-27 11:04:48 install libpam-modules-bin:armhf <none> 1.1.8-3.1+deb8u1
2016-05-27 11:04:48 status half-installed libpam-modules-bin:armhf 1.1.8-3.1+deb8u1
2016-05-27 11:04:48 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u1
2016-05-27 11:04:48 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u1
2016-05-27 11:04:48 install libpam-runtime:all <none> 1.1.8-3.1+deb8u1
2016-05-27 11:04:48 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u1
2016-05-27 11:04:49 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-05-27 11:04:49 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-05-27 11:04:49 install libpam0g:armhf <none> 1.1.8-3.1+deb8u1
2016-05-27 11:04:49 status half-installed libpam0g:armhf 1.1.8-3.1+deb8u1
2016-05-27 11:04:49 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u1
2016-05-27 11:04:49 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u1
2016-05-27 11:04:49 install libpcre3:armhf <none> 2:8.35-3.3+deb8u4
2016-05-27 11:04:49 status half-installed libpcre3:armhf 2:8.35-3.3+deb8u4
2016-05-27 11:04:49 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2016-05-27 11:04:49 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2016-05-27 11:04:50 install libpng12-0:armhf <none> 1.2.50-2+deb8u2
2016-05-27 11:04:50 status half-installed libpng12-0:armhf 1.2.50-2+deb8u2
2016-05-27 11:04:50 status unpacked libpng12-0:armhf 1.2.50-2+deb8u2
2016-05-27 11:04:50 status unpacked libpng12-0:armhf 1.2.50-2+deb8u2
2016-05-27 11:04:50 install libprocps3:armhf <none> 2:3.3.9-9
2016-05-27 11:04:50 status half-installed libprocps3:armhf 2:3.3.9-9
2016-05-27 11:04:50 status unpacked libprocps3:armhf 2:3.3.9-9
2016-05-27 11:04:50 status unpacked libprocps3:armhf 2:3.3.9-9
2016-05-27 11:04:50 install libselinux1:armhf <none> 2.3-2
2016-05-27 11:04:50 status half-installed libselinux1:armhf 2.3-2
2016-05-27 11:04:50 status unpacked libselinux1:armhf 2.3-2
2016-05-27 11:04:50 status unpacked libselinux1:armhf 2.3-2
2016-05-27 11:04:50 install libsemanage-common:all <none> 2.3-1
2016-05-27 11:04:50 status half-installed libsemanage-common:all 2.3-1
2016-05-27 11:04:50 status unpacked libsemanage-common:all 2.3-1
2016-05-27 11:04:50 status unpacked libsemanage-common:all 2.3-1
2016-05-27 11:04:50 install libsemanage1:armhf <none> 2.3-1
2016-05-27 11:04:50 status half-installed libsemanage1:armhf 2.3-1
2016-05-27 11:04:51 status unpacked libsemanage1:armhf 2.3-1
2016-05-27 11:04:51 status unpacked libsemanage1:armhf 2.3-1
2016-05-27 11:04:51 install libsepol1:armhf <none> 2.3-2
2016-05-27 11:04:51 status half-installed libsepol1:armhf 2.3-2
2016-05-27 11:04:51 status unpacked libsepol1:armhf 2.3-2
2016-05-27 11:04:51 status unpacked libsepol1:armhf 2.3-2
2016-05-27 11:04:51 install libslang2:armhf <none> 2.3.0-2
2016-05-27 11:04:51 status half-installed libslang2:armhf 2.3.0-2
2016-05-27 11:04:51 status unpacked libslang2:armhf 2.3.0-2
2016-05-27 11:04:51 status unpacked libslang2:armhf 2.3.0-2
